no,topic,description,example
678,Streaming Algorithms on DAGs,"Streaming Algorithms on DAGs: key idea, when to use it, and its core properties or equations.","Specialized graph structure.
Example: DAG shortest path via topo order relaxations in O(V+E)."
679,Streaming Algorithms on Grid Graphs,"Streaming Algorithms on Grid Graphs: key idea, when to use it, and its core properties or equations.","Specialized graph structure.
Example: DAG shortest path via topo order relaxations in O(V+E)."
680,Streaming Algorithms on Bipartite Graphs,"Streaming Algorithms on Bipartite Graphs: key idea, when to use it, and its core properties or equations.","Trace: client → TCP 3-way handshake → TLS handshake → HTTP GET /items → 200 OK.
Example: rate limit with token bucket (r=10/s, burst=20) drops excess requests."
681,Streaming Algorithms with Sweep Line,"Streaming Algorithms with Sweep Line: key idea, when to use it, and its core properties or equations.","Concrete run:
Define input and show the output for this technique on a small instance (e.g., a 6-node graph or a 10-element array), including complexity."
682,Streaming Algorithms with Meet-in-the-Middle,"Streaming Algorithms with Meet-in-the-Middle: key idea, when to use it, and its core properties or equations.","Split set into halves, enumerate sums.
Example: subset sum N=40 → 2·2^{20} instead of 2^{40}."
683,Streaming Algorithms with Randomization,"Streaming Algorithms with Randomization: key idea, when to use it, and its core properties or equations.",Example: Service Worker caches /index.html and /api/* for offline; ARIA roles improve screen-reader navigation.
684,Streaming Algorithms with Amortized Analysis,"Streaming Algorithms with Amortized Analysis: key idea, when to use it, and its core properties or equations.","Amortized analysis.
Example: dynamic array resize doubles capacity → average append O(1)."
685,Streaming Algorithms with Persistence,"Streaming Algorithms with Persistence: key idea, when to use it, and its core properties or equations.","Persistent data structure keeps old versions.
Example: persistent segment tree supports time-travel queries."
686,Streaming Algorithms with Space Optimization,"Streaming Algorithms with Space Optimization: key idea, when to use it, and its core properties or equations.",Example: Service Worker caches /index.html and /api/* for offline; ARIA roles improve screen-reader navigation.
687,Streaming Algorithms with Parallelization (GPU),"Streaming Algorithms with Parallelization (GPU): key idea, when to use it, and its core properties or equations.","Concrete run:
Define input and show the output for this technique on a small instance (e.g., a 6-node graph or a 10-element array), including complexity."
688,Streaming Algorithms in External Memory Model,"Streaming Algorithms in External Memory Model: key idea, when to use it, and its core properties or equations.","I/O model.
Example: external mergesort uses block reads/writes; complexity O((N/B) log_{M/B}(N/B))."
689,Streaming Algorithms under Heavy-Tailed Data,"Streaming Algorithms under Heavy-Tailed Data: key idea, when to use it, and its core properties or equations.","Concrete run:
Define input and show the output for this technique on a small instance (e.g., a 6-node graph or a 10-element array), including complexity."
690,Streaming Algorithms at Web Scale,"Streaming Algorithms at Web Scale: key idea, when to use it, and its core properties or equations.","Microservices resilience.
Example: token bucket limits QPS; circuit breaker opens on 5 consecutive failures; retry with exponential backoff and jitter."
691,Streaming Algorithms under Tight Latency SLOs,"Streaming Algorithms under Tight Latency SLOs: key idea, when to use it, and its core properties or equations.","Microservices resilience.
Example: token bucket limits QPS; circuit breaker opens on 5 consecutive failures; retry with exponential backoff and jitter."
692,Streaming Algorithms with Backpressure,"Streaming Algorithms with Backpressure: key idea, when to use it, and its core properties or equations.","Trace: client → TCP 3-way handshake → TLS handshake → HTTP GET /items → 200 OK.
Example: rate limit with token bucket (r=10/s, burst=20) drops excess requests."
693,Streaming Algorithms with Batching,"Streaming Algorithms with Batching: key idea, when to use it, and its core properties or equations.","Microservices resilience.
Example: token bucket limits QPS; circuit breaker opens on 5 consecutive failures; retry with exponential backoff and jitter."
694,Streaming Algorithms with Circuit Breaker,"Streaming Algorithms with Circuit Breaker: key idea, when to use it, and its core properties or equations.","Microservices resilience.
Example: token bucket limits QPS; circuit breaker opens on 5 consecutive failures; retry with exponential backoff and jitter."
695,Streaming Algorithms with Retries,"Streaming Algorithms with Retries: key idea, when to use it, and its core properties or equations.","Prefix tree for strings.
Example: insert 'cat','car'; search 'ca*' → {'cat','car'}. Lookup prefix O(L)."
696,Sketching Algorithms with Segment Tree,"Sketching Algorithms with Segment Tree: key idea, when to use it, and its core properties or equations.","Segment tree for range queries.
Example: arr=[2,1,5,3]; range max [2,4]→max(1,5,3)=5; point update in O(log n)."
697,Sketching Algorithms with Fenwick Tree,"Sketching Algorithms with Fenwick Tree: key idea, when to use it, and its core properties or equations.","Fenwick tree (BIT) supports prefix sums.
Example: arr=[1,2,3,4]; query(3)→1+2+3=6; update(2,+5) in O(log n)."
698,Sketching Algorithms with Lazy Propagation,"Sketching Algorithms with Lazy Propagation: key idea, when to use it, and its core properties or equations.","Example: Range sum queries on arr=[2,1,5,3,4].
Build segment tree; query [2,5]→1+5+3+4=13; point update (3,+2) updates O(log n)."
699,Sketching Algorithms with Disjoint Set Union,"Sketching Algorithms with Disjoint Set Union: key idea, when to use it, and its core properties or equations.","Union-Find: merges and finds components.
Example: union(1,2), union(2,3) → find(1)==find(3). Path compression + union by rank → α(n)."
700,Sketching Algorithms with Rolling Hash,"Sketching Algorithms with Rolling Hash: key idea, when to use it, and its core properties or equations.","String/prefix technique.
Example: rolling hash detects substring in O(n); difference array updates range [l,r] in O(1)."
701,Sketching Algorithms with KMP Preprocessing,"Sketching Algorithms with KMP Preprocessing: key idea, when to use it, and its core properties or equations.","String algo.
Example: pattern 'aba' in 'ababa' → occurrences at 0 and 2 using linear-time preprocessing."
702,Sketching Algorithms with Prefix Sums,"Sketching Algorithms with Prefix Sums: key idea, when to use it, and its core properties or equations.","String/prefix technique.
Example: rolling hash detects substring in O(n); difference array updates range [l,r] in O(1)."
703,Sketching Algorithms with Difference Array,"Sketching Algorithms with Difference Array: key idea, when to use it, and its core properties or equations.","Goal: store numbers and access by index.
Example: a = [5, 2, 9]; a[1] = 2; a.append(7) → [5,2,9,7].
Property: O(1) access, append amortized O(1) for dynamic arrays."
704,Sketching Algorithms on Trees,"Sketching Algorithms on Trees: key idea, when to use it, and its core properties or equations.","Tree queries via Euler tour + RMQ.
Example: LCA(u,v) answered in O(1) after O(n log n) preprocess."
705,Sketching Algorithms on DAGs,"Sketching Algorithms on DAGs: key idea, when to use it, and its core properties or equations.","Specialized graph structure.
Example: DAG shortest path via topo order relaxations in O(V+E)."
706,Sketching Algorithms on Grid Graphs,"Sketching Algorithms on Grid Graphs: key idea, when to use it, and its core properties or equations.","Specialized graph structure.
Example: DAG shortest path via topo order relaxations in O(V+E)."
707,Sketching Algorithms on Bipartite Graphs,"Sketching Algorithms on Bipartite Graphs: key idea, when to use it, and its core properties or equations.","Trace: client → TCP 3-way handshake → TLS handshake → HTTP GET /items → 200 OK.
Example: rate limit with token bucket (r=10/s, burst=20) drops excess requests."
