no,topic,description,example
704,Boltzmann Equation in Infinite Plane,"Boltzmann Equation in Infinite Plane: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
705,Boltzmann Equation in Long Solenoid,"Boltzmann Equation in Long Solenoid: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
706,Boltzmann Equation in Toroid,"Boltzmann Equation in Toroid: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
707,Boltzmann Equation in Coaxial Cable,"Boltzmann Equation in Coaxial Cable: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
708,Boltzmann Equation in Parallel Plate,"Boltzmann Equation in Parallel Plate: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
709,Boltzmann Equation in Cylindrical Cavity,"Boltzmann Equation in Cylindrical Cavity: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
710,Boltzmann Equation in Rectangular Waveguide,"Boltzmann Equation in Rectangular Waveguide: definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
711,Boltzmann Equation in Fabry–Pérot Cavity,"Boltzmann Equation in Fabry–Pérot Cavity: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
712,Boltzmann Equation in Spherical Cavity,"Boltzmann Equation in Spherical Cavity: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
713,Boltzmann Equation in Cylindrical Shell,"Boltzmann Equation in Cylindrical Shell: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
714,Boltzmann Equation in Spherical Capacitor,"Boltzmann Equation in Spherical Capacitor: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
715,Boltzmann Equation in Coil Pair (Helmholtz),"Boltzmann Equation in Coil Pair (Helmholtz): definition, governing equations, and typical applications.","Ideal gas: pV=nRT. Example: n=1 mol, T=300 K, V=0.024 m³ ⇒ p≈1.04×10⁵ Pa."
716,Boltzmann Equation in Dipole Field,"Boltzmann Equation in Dipole Field: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
717,Boltzmann Equation in Quadrupole Field,"Boltzmann Equation in Quadrupole Field: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
718,Boltzmann Equation in Vacuum,"Boltzmann Equation in Vacuum: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
719,Boltzmann Equation in Dielectric Medium,"Boltzmann Equation in Dielectric Medium: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
720,Boltzmann Equation in Conducting Medium,"Boltzmann Equation in Conducting Medium: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
721,Boltzmann Equation in Anisotropic Medium,"Boltzmann Equation in Anisotropic Medium: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
722,Boltzmann Equation in Superconductor,"Boltzmann Equation in Superconductor: definition, governing equations, and typical applications.",Semiconductor diode: I≈I₀(e^{qV/kT}−1). Example: V=0.7 V at 300 K ⇒ forward conduction.
723,Boltzmann Equation in Plasma,"Boltzmann Equation in Plasma: definition, governing equations, and typical applications.","Debye length: λ_D=√(ε₀kT/(n_e e²)). Example: n_e=10¹⁶ m⁻³, T=10⁴ K ⇒ λ_D ~ 2×10⁻⁵ m."
724,Boltzmann Equation in Semiconductor,"Boltzmann Equation in Semiconductor: definition, governing equations, and typical applications.",Semiconductor diode: I≈I₀(e^{qV/kT}−1). Example: V=0.7 V at 300 K ⇒ forward conduction.
725,Boltzmann Equation in Ferromagnetic Material,"Boltzmann Equation in Ferromagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
726,Boltzmann Equation in Paramagnetic Material,"Boltzmann Equation in Paramagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
727,Boltzmann Equation in Diamagnetic Material,"Boltzmann Equation in Diamagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
728,Boltzmann Equation in Metamaterial,"Boltzmann Equation in Metamaterial: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
729,Boltzmann Equation with Dirichlet Boundary Conditions,"Boltzmann Equation with Dirichlet Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
730,Boltzmann Equation with Neumann Boundary Conditions,"Boltzmann Equation with Neumann Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
731,Boltzmann Equation with Periodic Boundary Conditions,"Boltzmann Equation with Periodic Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
732,Boltzmann Equation with Mixed Boundary Conditions,"Boltzmann Equation with Mixed Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
733,Boltzmann Equation with Radiation Boundary,"Boltzmann Equation with Radiation Boundary: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
734,Boltzmann Equation with Perfect Conductor Boundary,"Boltzmann Equation with Perfect Conductor Boundary: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
735,Fokker–Planck Equation in Spherical Shell,"Fokker–Planck Equation in Spherical Shell: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
736,Fokker–Planck Equation in Infinite Plane,"Fokker–Planck Equation in Infinite Plane: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
737,Fokker–Planck Equation in Long Solenoid,"Fokker–Planck Equation in Long Solenoid: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
738,Fokker–Planck Equation in Toroid,"Fokker–Planck Equation in Toroid: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
739,Fokker–Planck Equation in Coaxial Cable,"Fokker–Planck Equation in Coaxial Cable: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
740,Fokker–Planck Equation in Parallel Plate,"Fokker–Planck Equation in Parallel Plate: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
741,Fokker–Planck Equation in Cylindrical Cavity,"Fokker–Planck Equation in Cylindrical Cavity: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
742,Fokker–Planck Equation in Rectangular Waveguide,"Fokker–Planck Equation in Rectangular Waveguide: definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
743,Fokker–Planck Equation in Fabry–Pérot Cavity,"Fokker–Planck Equation in Fabry–Pérot Cavity: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
744,Fokker–Planck Equation in Spherical Cavity,"Fokker–Planck Equation in Spherical Cavity: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
745,Fokker–Planck Equation in Cylindrical Shell,"Fokker–Planck Equation in Cylindrical Shell: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
746,Fokker–Planck Equation in Spherical Capacitor,"Fokker–Planck Equation in Spherical Capacitor: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
747,Fokker–Planck Equation in Coil Pair (Helmholtz),"Fokker–Planck Equation in Coil Pair (Helmholtz): definition, governing equations, and typical applications.","Ideal gas: pV=nRT. Example: n=1 mol, T=300 K, V=0.024 m³ ⇒ p≈1.04×10⁵ Pa."
748,Fokker–Planck Equation in Dipole Field,"Fokker–Planck Equation in Dipole Field: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
749,Fokker–Planck Equation in Quadrupole Field,"Fokker–Planck Equation in Quadrupole Field: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
750,Fokker–Planck Equation in Vacuum,"Fokker–Planck Equation in Vacuum: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
751,Fokker–Planck Equation in Dielectric Medium,"Fokker–Planck Equation in Dielectric Medium: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
752,Fokker–Planck Equation in Conducting Medium,"Fokker–Planck Equation in Conducting Medium: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
753,Fokker–Planck Equation in Anisotropic Medium,"Fokker–Planck Equation in Anisotropic Medium: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
754,Fokker–Planck Equation in Superconductor,"Fokker–Planck Equation in Superconductor: definition, governing equations, and typical applications.",Semiconductor diode: I≈I₀(e^{qV/kT}−1). Example: V=0.7 V at 300 K ⇒ forward conduction.
755,Fokker–Planck Equation in Plasma,"Fokker–Planck Equation in Plasma: definition, governing equations, and typical applications.","Debye length: λ_D=√(ε₀kT/(n_e e²)). Example: n_e=10¹⁶ m⁻³, T=10⁴ K ⇒ λ_D ~ 2×10⁻⁵ m."
756,Fokker–Planck Equation in Semiconductor,"Fokker–Planck Equation in Semiconductor: definition, governing equations, and typical applications.",Semiconductor diode: I≈I₀(e^{qV/kT}−1). Example: V=0.7 V at 300 K ⇒ forward conduction.
757,Fokker–Planck Equation in Ferromagnetic Material,"Fokker–Planck Equation in Ferromagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
758,Fokker–Planck Equation in Paramagnetic Material,"Fokker–Planck Equation in Paramagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
759,Fokker–Planck Equation in Diamagnetic Material,"Fokker–Planck Equation in Diamagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
760,Fokker–Planck Equation in Metamaterial,"Fokker–Planck Equation in Metamaterial: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
761,Fokker–Planck Equation with Dirichlet Boundary Conditions,"Fokker–Planck Equation with Dirichlet Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
762,Fokker–Planck Equation with Neumann Boundary Conditions,"Fokker–Planck Equation with Neumann Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
763,Fokker–Planck Equation with Periodic Boundary Conditions,"Fokker–Planck Equation with Periodic Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
764,Fokker–Planck Equation with Mixed Boundary Conditions,"Fokker–Planck Equation with Mixed Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
